datetime,symbol,direction,offset,price,volume,pnl
2025-10-17 14:00:00+00:00,solusdt,多,平,180.58,38.59726511,0
2025-10-18 01:00:00+00:00,solusdt,多,开,182.78,38.29740672,0
2025-10-18 08:00:00+00:00,solusdt,空,平,186.17,38.29740672,0
2025-10-19 15:00:00+00:00,solusdt,空,开,191.44,36.5649812,0
2025-10-19 23:00:00+00:00,solusdt,多,平,189.72,36.5649812,0
2025-10-21 16:00:00+00:00,solusdt,空,开,196.18,35.68151697,0
2025-10-21 18:00:00+00:00,solusdt,多,平,194.79,35.68151697,0
2025-10-22 20:00:00+00:00,solusdt,空,开,180.1,38.86729595,0
2025-10-23 00:00:00+00:00,solusdt,多,平,180.0,38.86729595,0
2025-10-26 14:00:00+00:00,solusdt,空,开,198.96,35.18295135,0
2025-10-26 19:00:00+00:00,solusdt,多,平,199.05,35.18295135,0
2025-10-27 01:00:00+00:00,solusdt,空,开,203.16,34.4556015,0
2025-10-27 02:00:00+00:00,solusdt,多,平,204.3,34.4556015,0
2025-10-29 21:00:00+00:00,solusdt,多,开,195.47,35.80928995,0
2025-10-30 00:00:00+00:00,solusdt,空,平,193.81,35.80928995,0
2025-10-30 05:00:00+00:00,solusdt,空,开,191.71,36.51348391,0
2025-10-30 06:00:00+00:00,solusdt,多,平,195.07,36.51348391,0
2025-10-30 07:00:00+00:00,solusdt,空,开,194.1,36.0657427,0
2025-10-30 15:00:00+00:00,solusdt,多,平,187.14,36.0657427,0
2025-10-30 16:00:00+00:00,solusdt,空,开,184.95,37.84806705,0
2025-10-30 18:00:00+00:00,solusdt,多,平,183.68,37.84806705,0
2025-10-30 19:00:00+00:00,solusdt,空,开,181.22,38.6270831,0
2025-10-30 21:00:00+00:00,solusdt,多,平,182.11,38.6270831,0
2025-10-30 22:00:00+00:00,solusdt,空,开,182.25,38.40877915,0
2025-10-31 00:00:00+00:00,solusdt,多,平,184.55,38.40877915,0
2025-11-03 04:00:00+00:00,solusdt,多,开,177.42,39.45440198,0
2025-11-03 06:00:00+00:00,solusdt,空,平,176.69,39.45440198,0
2025-11-03 07:00:00+00:00,solusdt,多,开,175.96,39.77950787,0
2025-11-03 10:00:00+00:00,solusdt,空,平,174.84,39.77950787,0
2025-11-03 16:00:00+00:00,solusdt,空,开,166.74,41.98404606,0
2025-11-03 17:00:00+00:00,solusdt,多,平,168.23,41.98404606,0
2025-11-03 18:00:00+00:00,solusdt,空,开,169.8,41.22739855,0
2025-11-03 22:00:00+00:00,solusdt,多,平,165.86,41.22739855,0
2025-11-03 23:00:00+00:00,solusdt,空,开,165.65,42.26032359,0
2025-11-04 01:00:00+00:00,solusdt,多,平,166.46,42.26032359,0
2025-11-04 07:00:00+00:00,solusdt,空,开,158.51,44.16403785,0
2025-11-04 09:00:00+00:00,solusdt,多,平,159.17,44.16403785,0
2025-11-04 21:00:00+00:00,solusdt,空,开,153.35,45.64721226,0
2025-11-04 22:00:00+00:00,solusdt,多,平,151.12,45.64721226,0
2025-11-04 23:00:00+00:00,solusdt,空,开,155.15,45.1176281,0
2025-11-05 02:00:00+00:00,solusdt,多,平,152.58,45.1176281,0
2025-11-05 16:00:00+00:00,solusdt,多,开,160.36,43.65178349,0
2025-11-05 22:00:00+00:00,solusdt,空,平,161.76,43.65178349,0
2025-11-05 23:00:00+00:00,solusdt,多,开,162.72,43.0186824,0
2025-11-06 02:00:00+00:00,solusdt,空,平,160.75,43.0186824,0
2025-11-06 03:00:00+00:00,solusdt,多,开,161.67,43.29807633,0
2025-11-06 06:00:00+00:00,solusdt,空,平,159.25,43.29807633,0
2025-11-06 21:00:00+00:00,solusdt,空,开,155.22,45.09728128,0
2025-11-07 00:00:00+00:00,solusdt,多,平,155.2,45.09728128,0
2025-11-07 02:00:00+00:00,solusdt,空,开,156.96,44.59734964,0
2025-11-07 03:00:00+00:00,solusdt,多,平,157.95,44.59734964,0
2025-11-07 15:00:00+00:00,solusdt,空,开,154.63,45.27228043,0
2025-11-07 16:00:00+00:00,solusdt,多,平,155.31,45.27228043,0
2025-11-07 20:00:00+00:00,solusdt,多,开,164.08,42.66211604,0
2025-11-08 00:00:00+00:00,solusdt,空,平,161.72,42.66211604,0
2025-11-08 01:00:00+00:00,solusdt,多,开,160.81,43.52963124,0
2025-11-08 04:00:00+00:00,solusdt,空,平,162.43,43.52963124,0
2025-11-09 20:00:00+00:00,solusdt,空,开,166.09,42.14836224,0
2025-11-10 01:00:00+00:00,solusdt,多,平,167.39,42.14836224,0
2025-11-13 18:00:00+00:00,solusdt,空,开,147.04,47.60609358,0
2025-11-13 23:00:00+00:00,solusdt,多,平,144.48,47.60609358,0
2025-11-14 00:00:00+00:00,solusdt,空,开,144.63,48.40271055,0
2025-11-14 03:00:00+00:00,solusdt,多,平,145.21,48.40271055,0
2025-11-14 04:00:00+00:00,solusdt,空,开,144.21,48.54368932,0
2025-11-14 05:00:00+00:00,solusdt,多,平,141.81,48.54368932,0
2025-11-14 06:00:00+00:00,solusdt,空,开,143.1,48.92025998,0
2025-11-14 07:00:00+00:00,solusdt,多,平,143.88,48.92025998,0
2025-11-14 08:00:00+00:00,solusdt,空,开,142.77,49.02990824,0
2025-11-14 13:00:00+00:00,solusdt,多,平,138.67,49.02990824,0
2025-11-14 14:00:00+00:00,solusdt,空,开,138.92,50.38871293,0
2025-11-14 15:00:00+00:00,solusdt,多,平,142.18,50.38871293,0
2025-11-15 09:00:00+00:00,solusdt,多,开,140.7,49.74770805,0
2025-11-15 19:00:00+00:00,solusdt,空,平,142.43,49.74770805,0
2025-11-17 19:00:00+00:00,solusdt,空,开,130.44,53.66452009,0
2025-11-17 22:00:00+00:00,solusdt,多,平,130.59,53.66452009,0
2025-11-17 23:00:00+00:00,solusdt,空,开,131.23,53.3455266,0
2025-11-18 01:00:00+00:00,solusdt,多,平,131.23,53.3455266,0
2025-11-18 02:00:00+00:00,solusdt,空,开,131.89,53.07453181,0
2025-11-18 03:00:00+00:00,solusdt,多,平,132.34,53.07453181,0
2025-11-18 04:00:00+00:00,solusdt,空,开,134.46,52.0639643,0
2025-11-18 05:00:00+00:00,solusdt,多,平,135.47,52.0639643,0
2025-11-18 12:00:00+00:00,solusdt,多,开,137.79,50.80194499,0
2025-11-18 15:00:00+00:00,solusdt,空,平,137.42,50.80194499,0
2025-11-18 16:00:00+00:00,solusdt,多,开,139.63,50.13249302,0
2025-11-18 18:00:00+00:00,solusdt,空,平,139.96,50.13249302,0
2025-11-18 19:00:00+00:00,solusdt,多,开,141.39,49.5084518,0
2025-11-18 22:00:00+00:00,solusdt,空,平,139.69,49.5084518,0
2025-11-18 23:00:00+00:00,solusdt,多,开,141.34,49.52596576,0
2025-11-19 04:00:00+00:00,solusdt,空,平,139.7,49.52596576,0
2025-11-19 16:00:00+00:00,solusdt,空,开,134.51,52.04074047,0
2025-11-19 21:00:00+00:00,solusdt,多,平,133.1,52.04074047,0
2025-11-19 22:00:00+00:00,solusdt,空,开,135.33,51.72541196,0
2025-11-20 00:00:00+00:00,solusdt,多,平,136.95,51.72541196,0
2025-11-20 05:00:00+00:00,solusdt,多,开,144.59,48.4127533,0
2025-11-20 07:00:00+00:00,solusdt,空,平,142.78,48.4127533,0
2025-11-20 20:00:00+00:00,solusdt,空,开,133.83,52.30907189,0
2025-11-20 23:00:00+00:00,solusdt,多,平,136.34,52.30907189,0
2025-11-21 00:00:00+00:00,solusdt,空,开,133.61,52.39520958,0
2025-11-21 05:00:00+00:00,solusdt,多,平,132.59,52.39520958,0
2025-11-21 06:00:00+00:00,solusdt,空,开,132.04,53.01825343,0
2025-11-21 08:00:00+00:00,solusdt,多,平,127.43,53.01825343,0
2025-11-21 09:00:00+00:00,solusdt,空,开,127.96,54.70459519,0
2025-11-21 13:00:00+00:00,solusdt,多,平,126.15,54.70459519,0
2025-11-21 14:00:00+00:00,solusdt,空,开,127.09,55.07907782,0
2025-11-21 15:00:00+00:00,solusdt,多,平,128.5,55.07907782,0
2025-11-22 22:00:00+00:00,solusdt,空,开,126.58,55.30099542,0
2025-11-22 23:00:00+00:00,solusdt,多,平,128.14,55.30099542,0
2025-11-23 00:00:00+00:00,solusdt,多,开,127.5,54.90196078,0
2025-11-23 06:00:00+00:00,solusdt,空,平,130.46,54.90196078,0
2025-11-24 18:00:00+00:00,solusdt,空,开,136.87,51.14715768,0
2025-11-24 21:00:00+00:00,solusdt,多,平,138.89,51.14715768,0
2025-11-26 02:00:00+00:00,solusdt,空,开,139.94,50.02143776,0
2025-11-26 06:00:00+00:00,solusdt,多,平,138.96,50.02143776,0
2025-11-26 19:00:00+00:00,solusdt,空,开,144.59,48.4127533,0
2025-11-27 07:00:00+00:00,solusdt,多,平,143.87,48.4127533,0
2025-12-01 01:00:00+00:00,solusdt,多,开,127.48,54.90626716,0
2025-12-01 02:00:00+00:00,solusdt,空,平,127.87,54.90626716,0
2025-12-01 03:00:00+00:00,solusdt,多,开,127.51,54.89765509,0
2025-12-01 05:00:00+00:00,solusdt,空,平,126.3,54.89765509,0
2025-12-02 15:00:00+00:00,solusdt,空,开,132.92,52.66325609,0
2025-12-02 16:00:00+00:00,solusdt,多,平,137.79,52.66325609,0
2025-12-02 17:00:00+00:00,solusdt,空,开,139.34,50.23683077,0
2025-12-02 23:00:00+00:00,solusdt,多,平,139.89,50.23683077,0
2025-12-03 22:00:00+00:00,solusdt,空,开,145.45,48.12981298,0
2025-12-03 23:00:00+00:00,solusdt,多,平,144.51,48.12981298,0
2025-12-05 15:00:00+00:00,solusdt,多,开,134.66,51.97891141,0
2025-12-05 16:00:00+00:00,solusdt,空,平,134.96,51.97891141,0
2025-12-05 17:00:00+00:00,solusdt,多,开,132.13,52.9781276,0
2025-12-05 19:00:00+00:00,solusdt,空,平,131.28,52.9781276,0
2025-12-07 15:00:00+00:00,solusdt,多,开,128.06,54.65760912,0
2025-12-07 22:00:00+00:00,solusdt,空,平,133.04,54.65760912,0
2025-12-09 16:00:00+00:00,solusdt,空,开,138.42,50.57072677,0
2025-12-09 17:00:00+00:00,solusdt,多,平,143.64,50.57072677,0
2025-12-09 18:00:00+00:00,solusdt,空,开,143.1,48.91684137,0
2025-12-09 23:00:00+00:00,solusdt,多,平,138.71,48.91684137,0
2025-12-11 01:00:00+00:00,solusdt,空,开,133.78,52.32471221,0
2025-12-11 05:00:00+00:00,solusdt,多,平,130.95,52.32471221,0
2025-12-11 06:00:00+00:00,solusdt,空,开,131.1,53.39435545,0
2025-12-11 14:00:00+00:00,solusdt,多,平,131.25,53.39435545,0
2025-12-15 16:00:00+00:00,solusdt,多,开,126.78,55.21375611,0
2025-12-15 18:00:00+00:00,solusdt,空,平,124.85,55.21375611,0
2025-12-15 19:00:00+00:00,solusdt,多,开,124.79,56.09423832,0
2025-12-16 01:00:00+00:00,solusdt,空,平,126.14,56.09423832,0
2025-12-17 15:00:00+00:00,solusdt,空,开,132.58,52.79831045,0
2025-12-17 21:00:00+00:00,solusdt,多,平,122.91,52.79831045,0
2025-12-17 22:00:00+00:00,solusdt,空,开,122.34,57.21759032,0
2025-12-18 01:00:00+00:00,solusdt,多,平,123.6,57.21759032,0
2025-12-18 18:00:00+00:00,solusdt,多,开,122.9,56.95687551,0
2025-12-18 19:00:00+00:00,solusdt,空,平,121.46,56.95687551,0
2025-12-18 21:00:00+00:00,solusdt,空,开,117.12,59.76775956,0
2025-12-18 22:00:00+00:00,solusdt,多,平,120.04,59.76775956,0
2025-12-18 23:00:00+00:00,solusdt,空,开,119.74,58.46487931,0
2025-12-19 04:00:00+00:00,solusdt,多,平,121.52,58.46487931,0
2025-12-21 14:00:00+00:00,solusdt,多,开,123.56,56.65263839,0
2025-12-21 19:00:00+00:00,solusdt,空,平,125.08,56.65263839,0
2025-12-29 01:00:00+00:00,solusdt,空,开,126.97,55.13547574,0
2025-12-29 02:00:00+00:00,solusdt,多,平,128.7,55.13547574,0
2025-12-29 03:00:00+00:00,solusdt,空,开,128.69,54.39850793,0
2025-12-29 15:00:00+00:00,solusdt,多,平,123.38,54.39850793,0
2026-01-02 10:00:00+00:00,solusdt,空,开,129.37,54.10837134,0
2026-01-02 15:00:00+00:00,solusdt,多,平,128.67,54.10837134,0
2026-01-02 17:00:00+00:00,solusdt,空,开,130.88,53.48410758,0
2026-01-02 20:00:00+00:00,solusdt,多,平,131.59,53.48410758,0
2026-01-04 01:00:00+00:00,solusdt,空,开,134.49,52.04847944,0
2026-01-04 04:00:00+00:00,solusdt,多,平,134.55,52.04847944,0
2026-01-05 02:00:00+00:00,solusdt,空,开,136.7,51.21076889,0
2026-01-05 03:00:00+00:00,solusdt,多,平,136.81,51.21076889,0
2026-01-06 15:00:00+00:00,solusdt,空,开,141.96,49.30966469,0
2026-01-06 19:00:00+00:00,solusdt,多,平,137.5,49.30966469,0
2026-01-11 15:00:00+00:00,solusdt,空,开,139.16,50.30181087,0
2026-01-11 16:00:00+00:00,solusdt,多,平,138.38,50.30181087,0
2026-01-11 17:00:00+00:00,solusdt,空,开,139.99,50.00714388,0
2026-01-11 18:00:00+00:00,solusdt,多,平,139.63,50.00714388,0
2026-01-11 19:00:00+00:00,solusdt,空,开,139.98,50.00714388,0
2026-01-11 22:00:00+00:00,solusdt,多,平,138.65,50.00714388,0
2026-01-12 03:00:00+00:00,solusdt,空,开,142.38,49.16766173,0
