trade_id,symbol,signal_type,entry_price,exit_price,size,pnl,pnl_pct,slippage,entry_seq,exit_seq,strategy,regime,ev_score,confidence,equity_after
bt_53,BTCUSDT,long,68760.1,68900.04277836635,0.016699358717651425,2.336954655884324,0.02336954655884324,0.002035232327561207,289,291,momentum,MIXED,2.460855885687161,0.8549999999999999,10208.999846758852
bt_54,BTCUSDT,long,68577.5,68709.25659438876,0.016747657508080212,2.206614317254,0.02206614317254,0.0019212802214831435,293,295,momentum,MIXED,2.441697366703691,0.8549999999999999,10211.206461076106
bt_55,BTCUSDT,long,69450.1,69575.71183714095,0.01654080738358997,2.0777212032471497,0.020777212032471497,0.0018086631573019953,298,300,momentum,MIXED,2.4217515451709293,0.8549999999999999,10213.284182279353
bt_56,BTCUSDT,long,69748.7,69887.73616745183,0.01647334603378166,2.290390897644895,0.02290390897644895,0.0019933872237308417,302,304,momentum,MIXED,2.4010776831442073,0.8549999999999999,10215.574573176997
bt_57,BTCUSDT,long,69896.0,70020.66521142633,0.016442316291095514,2.049784836767963,0.020497848367679632,0.001783581484295625,306,308,momentum,MIXED,2.383497324049982,0.8549999999999999,10217.624358013765
bt_58,BTCUSDT,long,70011.9,70135.54263531097,0.016418390877501517,2.030013115659892,0.020300131156598924,0.0017660231376518986,314,316,momentum,MIXED,2.363916041547822,0.8549999999999999,10219.654371129425
bt_59,BTCUSDT,long,71181.1,71367.99349714498,0.016151915561182114,3.0186879848197155,0.03018687984819715,0.002625605633306847,326,328,momentum,MIXED,2.3447985695385234,0.8549999999999999,10222.673059114244
bt_60,BTCUSDT,long,71114.4,71285.8416416011,0.0161718402904384,2.7725268471037006,0.02772526847103701,0.0024107865861359747,330,332,momentum,MIXED,2.3367212304672913,0.8549999999999999,10225.445585961348
bt_61,BTCUSDT,long,70667.8,70913.69168362263,0.01627845537034762,4.002736797790574,0.04002736797790574,0.003479543492547202,333,335,momentum,MIXED,2.326368829897406,0.8549999999999999,10229.448322759139
bt_62,BTCUSDT,long,70728.70000000001,71119.60583783907,0.016270805716921178,6.360352941089671,0.06360352941089671,0.005526834762113001,336,338,momentum,MIXED,2.3288627767188386,0.8549999999999999,10235.80867570023
